MIM Orpha;
100050 915;
100070 86;
100100 2970;
100300 974;
100800 15;
101000 637;
101200 87;
101400 794;
101600 710;
101800 280651;950;
101805 1786;
101850 38;
101900 79151;
102150 965;
102200 314777;96256;963;99725;
102370 969;
102400 955;
102500 955;
102510 957;
102520 971;
102530 171709;399808;
102650 294990;973;
102660 55881;
102700 277;
102800 1044;
103050 46;
103100 454718;
103200 36397;
103230 85138;
103285 978;
103300 989;
103420 91416;
103470 352740;
103500 42665;
103580 79443;
103900 403;
103920 1164;
104000 700;701;
104100 1010;
104130 1008;
104200 63;88918;
104290 2131;
104300 1020;
104310 1020;
104500 100031;88661;
104510 100034;88661;
104530 100031;88661;
104570 1028;
105120 85448;
105150 100008;85458;
105200 85450;
105210 85447;85451;
105250 353220;
105400 803;
105500 90020;
105550 275872;
105600 98870;
105650 124;
105800 231160;
105805 99092;
105830 72;
105835 63442;
106050 95429;
106070 1062;
106100 100050;100051;91378;
106210 250923;
106220 1069;
106250 1072;
106260 1071;
106400 2206;
106600 99798;
106700 99125;
106750 69125;
106995 1487;
107000 79143;90390;
107100 557;
107200 88620;
107250 88632;
107480 857;
107500 1110;
107600 1114;
107970 217656;3403;
108010 46724;
108120 1146;
108145 1154;
108200 1144;
108300 828;90653;
108420 399805;
108500 97;
108600 251282;
108650 1182;
108720 1190;
108721 56305;
108760 141074;
108770 1344;
108800 1478;
108900 1479;
108950 844;
108985 86813;
109000 114;
109150 98757;
109300 1228;
109400 377;
109500 2285;
109543 67038;
109650 117;
109720 186;
109730 402075;
109740 2695;
109900 1253;
110050 1252;
110100 126;
110150 1259;
112200 1059;
112240 2050;
112250 85182;
112300 1262;
112310 1263;
112350 3344;
112410 1276;
112430 2946;
112440 93395;
112450 1278;
112500 93388;
112600 93396;
112800 93394;
112910 93382;
113000 93383;
113100 93384;
113300 93387;
113310 1118;
113400 1246;
113450 3168;
113477 1292;
113480 1295;
113500 93304;
113600 141022;
113620 1297;
113650 107;
113670 180176;
113700 180188;
113750 370097;
113800 312;
113900 871;
113970 543;
114000 1310;
114030 2678;
114100 51;
114140 79141;
114150 1319;
114200 295016;
114290 140;
114300 376;
114480 227535;
114550 449;88673;
114580 1334;
114620 363705;
114900 100093;
115080 871;
115150 1340;
115200 300751;
115210 75249;
115250 53296;
115300 199285;
115310 29072;
115470 195;
115645 1373;
115650 91492;
115660 91492;98989;98992;
115665 91492;
115700 1377;91492;
115800 91492;98990;98992;
115900 91492;
116100 91492;
116200 1377;91492;
116300 91492;98984;98992;
116400 91492;98991;98992;98995;
116600 91492;
116700 91492;
116800 91492;
116860 221061;
116920 2968;99842;
117000 178145;597;598;
117100 1945;
117210 217012;
117300 439254;97346;
117360 208513;
117550 821;
117600 2030;
117650 1393;
118100 2345;
118200 101082;
118210 99946;
118220 101081;
118300 90658;
118330 1221;
118400 184;
118420 268882;
118450 261600;261619;52;
118600 1416;
118650 79344;
118651 79346;
118700 1429;
118800 98810;
118830 444490;
118980 66630;
119100 3329;
119300 888;
119500 1300;
119530 141291;199302;199306;
119540 2014;
119550 2016;
119570 99772;
119580 1997;
119600 1452;
119650 1453;
119800 199315;293144;293150;
119900 217059;
120000 1457;
120040 3233;
120100 47045;
120200 194;98942;98944;
120330 1475;
120400 1471;
120430 35737;
120433 1473;
120435 144;
120502 52429;
120790 459353;
120970 1872;
121050 115;
121200 1949;
121201 1949;
121270 1551;
121300 79273;
121400 53691;
121700 98975;
121800 98967;
121820 98956;
121850 98970;
121900 98962;
122000 98973;
122100 98954;
122200 98964;
122400 293381;
122430 1051;
122440 3194;
122450 231013;
122455 458718;
122470 199;
122580 2391;
122600 1797;
122780 1508;
122860 1513;
122880 1529;
122900 1798;
123000 1522;
123050 157832;
123100 35093;35098;35099;63440;
123150 1540;
123155 1538;
123400 204;282166;454700;
123450 281;
123500 207;
123550 91138;
123560 1547;
123570 91396;
123700 90348;
123790 1555;
123853 2674;
123880 73;
124000 1460;254902;
124200 218;
124480 3231;79499;
124490 3232;
124500 494;
124900 90635;
125230 3241;
125250 1215;
125310 136;
125350 412206;
125370 101;
125400 1653;314721;
125420 1653;
125440 99792;
125490 166260;
125500 166265;
125520 1166;
125595 86920;
125640 1660;
125700 178029;30925;
125800 223;
125850 552;
125851 552;
126050 1146;
126190 2868;
126300 99177;
126550 85192;
126600 75376;
126700 75376;
126800 233;
126900 79142;
127000 2333;93325;
127300 240;35688;
127350 1765;
127400 41;
127500 241;
127550 1775;
127600 352657;
127800 1822;
127820 2767;
128100 256;
128101 98805;
128200 98809;
128230 98808;
128235 71517;
128800 83463;
128980 2405;
129200 1658;
129400 141291;199302;199306;
129490 1810;238468;
129500 189;
129510 1818;
129600 1885;
129850 1895;
129900 1896;
130000 287;
130020 285;
130050 286;
130060 1899;99875;99876;
130070 75496;
130080 75392;
130100 79148;
130600 288;
130650 116;
130710 1928;
130720 2789;
130900 100032;88661;
130950 2672;
131100 652;
131300 1328;
131440 86830;
131705 79411;
131750 231568;
131760 79396;
131800 79400;
131850 79410;
131900 79399;
131950 79401;
131960 79397;
132090 25968;
132100 166409;
132300 166433;
132400 93308;
132450 166011;
132600 91414;
132700 211;79493;
132800 65748;
132900 91387;
133000 231031;
133020 306577;90026;
133100 90042;
133180 318;
133190 1955;
133200 317;495;
133239 99977;
133540 191;90321;90322;90324;
133690 1962;
133700 321;
133701 321;
133705 3023;
133750 1964;
133780 891;90050;
133900 141145;
134200 2809;
134600 3337;
134610 342;
134750 47612;
134780 1988;
135100 337;
135150 122;
135290 873;
135300 2024;
135400 2026;
135500 3473;
135550 2027;
135700 45358;
135750 2378;
135900 1465;
135950 1937;
136000 289465;
136120 650;79292;
136140 2044;
136300 2047;
136480 91498;
136500 398166;79133;
136520 2253;
136550 75327;
136680 347;
136760 391474;
136800 98974;
136880 227796;52427;
136900 59181;
137200 324442;
137215 26106;
137245 52417;
137270 2069;
137280 2494;
137360 85197;93398;
137440 356;
137550 626;
137575 435329;
137600 91483;
137750 98977;
137763 2085;
137800 182067;251627;251630;301;360;94;
137920 93111;
137940 69735;
137950 84090;
138000 83454;
138770 2090;
138790 2091;
138800 276399;
138930 2097;
139090 721;
139210 2588;
139300 178345;
139393 98916;
139600 2220;
139750 1927;
140000 2438;
140350 2118;
140400 871;
140450 1342;
140700 178330;
140850 2124;
141000 2330;
141300 1214;
141350 1241;
141400 2549;
141405 221083;
141500 569;
141749 231237;251380;46532;
141750 98791;
142335 251380;46532;
142340 2140;
142470 251380;46532;
142623 388;
142625 2156;
142630 158025;
142669 2114;
142680 32960;
142900 392;
142945 2162;
142946 2162;
143000 91413;
143050 3265;
143095 263463;
143100 248111;399;
143200 898;
143400 2190;
143470 79506;
143870 2197;
143880 300547;
143890 391665;
144150 409;
144190 1336;
144200 2199;
144650 70470;
144700 422526;
144750 2790;
144755 443098;
144800 77296;
145000 99877;99879;
145001 99880;
145250 280628;79146;
145260 757;88938;
145300 99908;
145410 2745;306588;
145420 1519;
145600 423;99741;
145650 165994;
145700 2222;
145701 1023;2222;
145900 64748;
145980 405;93372;
145981 101049;405;
146000 429;
146110 432;
146160 2491;
146200 189466;2238;
146255 2237;
146300 247676;247685;436;
146390 1598;
146450 440;
146500 102;
146510 672;
146520 90368;
146550 444;
146590 79503;
146600 79504;
146720 2267;
146800 455;
146830 1572;
147060 2314;
147250 2162;2286;280200;
147251 2287;
147421 611;
147480 69665;
147750 2307;
147770 2316;
147791 2308;
147800 916;
147891 1509;
147900 2295;
147920 2322;
147950 432;478;
148000 160;33276;93686;
148050 2332;
148190 2334;
148210 477;
148350 2202;
148360 2201;
148370 50943;
148500 2198;
148520 86919;
148600 79501;
148700 369999;370002;50942;
148730 2200;
148800 2343;
148820 3440;896;
148840 33543;
149000 2346;90308;
149200 2698;
149400 3197;
149700 451612;
149730 2363;
150230 502;
150250 503;
150260 2808;
150280 2373;
150300 1202;
150360 2374;
150400 99798;
150600 2380;
150700 1018;
150800 523;
151001 231040;
151050 2658;
151100 500;
151200 2900;
151210 85166;
151400 67038;
151600 2387;
151623 524;
151630 2699;
151660 2348;
151800 2398;
151900 199276;
152800 90362;
152900 86914;
152950 2526;
153100 79452;
153200 90186;
153300 662;
153400 33001;
153480 109;
153550 86841;
153600 33226;
153630 2430;
153670 274;
153700 1243;
153840 99000;
153870 251287;
153880 75381;
154020 34528;
154230 242;
154275 423;
154276 423;
154400 245;
154500 861;
154600 91412;
154700 284963;558;
154780 560;
154800 79457;98292;
155050 1248;
155145 1993;
155240 653;99361;
155255 251858;251863;251867;616;
155310 2604;
155350 2477;
155600 404560;618;
155601 618;
155700 618;
155720 39044;
155755 252206;
155900 2483;
155950 2485;
155980 3034;
156200 178469;228402;
156232 1836;
156240 50251;
156250 2499;
156310 512;
156400 33067;
156500 174;
156510 2504;
156530 2635;
156550 485;
156580 2514;
156600 566;
156610 2505;
156620 2533;
156700 2536;
156810 2538;
156830 2655;93274;
156850 2542;
157151 2551;
157170 2162;
157600 238722;
157640 254892;
157700 741;
157800 3238;
157900 570;
157980 2563;
158000 573;
158170 261112;
158300 3377;
158310 1839;
158320 587;
158330 247768;
158350 201;2969;65285;
158500 2579;
158580 139589;
158590 139525;
158600 209341;363447;
158810 610;
158900 269;
158901 269;
159000 266;
159001 264;
159050 98895;
159400 589;
159550 2585;
159580 289326;
159595 420611;
159800 2589;
159900 36899;
159950 2590;
160010 99846;
160120 37612;972;
160150 169189;
160500 59135;
160565 2593;
160800 614;
160900 273;
160980 1359;
161000 69087;
161050 79153;
161200 2614;
161400 2073;
161550 150;
161800 171430;171433;171436;171439;98904;
161900 88659;
162000 209886;
162091 93921;
162100 2901;
162200 363700;636;
162210 636;
162260 93921;
162300 247709;653;
162350 228343;79262;
162400 36386;
162500 640;
162800 2686;
162830 279943;
162900 79414;
163000 624;
163200 2612;
163400 2633;
163500 215;
163700 2456;
163800 166282;
163950 648;
164180 1647;
164185 46486;
164200 2710;
164210 374;
164220 2353;
164280 1305;391641;
164300 270;
164310 98897;
164330 2724;
164400 98755;
164500 94147;
164745 2733;93328;
164750 660;
164900 2741;
165150 2743;
165199 1215;
165200 99718;
165300 67036;
165500 98673;
165550 137902;
165590 2756;
165600 98606;
165660 2760;
165700 3314;
165800 251262;
166000 296;
166200 216796;666;
166210 216804;666;
166220 216820;666;
166230 216796;666;
166250 2645;
166260 53697;
166300 2774;
166350 2762;
166450 2777;
166600 53;
166700 1306;166119;
166705 1562;
166750 2791;99806;
166780 2792;
166900 98868;
167100 2796;
167200 2309;
167210 2309;
167220 1952;
167300 2800;
167320 52430;
167400 46348;
167500 2291;
167730 2399;
167750 675;
167755 2805;
167800 676;
168000 29072;
168100 171695;
168300 684;
168400 2646;
168500 60015;
168550 251290;
168601 171695;411602;
168605 178509;
168860 86789;
168885 1179;
168900 1428;
169100 46627;
169150 99001;
169170 2976;
169500 99027;
169550 2839;
169600 2841;
169610 704;
170100 742;
170390 37553;
170400 681;
170500 682;
170700 1795;
171300 29072;
171400 247698;653;
171480 2878;
172700 282;
172800 2884;
172850 2885;
172870 251295;
172880 3104;
173100 231679;631;
173200 2897;
173600 2903;
173650 306539;
173700 221039;
173800 2911;
174000 34149;
174050 2924;
174200 93334;93335;
174300 2919;
174310 2917;
174400 93339;
174500 2950;93336;
174600 93337;
174700 93338;
174770 330061;
174800 562;
174810 85195;
174900 2929;329971;
175020 157798;
175050 2929;
175100 220460;247806;733;79665;99818;
175200 2869;
175500 2930;
175690 2935;
175700 380;
175780 2940;99810;
175800 735;
175850 737;
175860 79502;
175900 735;79152;
176000 79276;
176090 101330;443057;
176100 101330;443062;95159;
176200 79473;
176240 2730;
176270 739;
176305 2957;
176400 759;
176410 3000;
176450 1552;
176500 439254;97345;
176670 740;
176690 2959;
176700 2964;
176807 1331;
176860 745;
176920 744;
177000 79278;
177170 750;
177200 526;
177735 171871;756;
177820 52530;
177850 758;
177980 2994;
178000 2989;
178110 65743;
178200 2987;
178300 91411;
178330 2999;
178370 1207;
178500 2032;79126;
178550 99931;
178600 422;
178610 60026;
178995 64745;
179250 2252;
179270 3026;
179280 3015;
179300 3269;
179613 96167;
179800 18;93608;
179830 47159;
179840 99002;
179850 79145;
179900 65;
180000 75326;
180020 1871;
180100 791;
180104 791;
180105 791;
180200 790;
180210 791;
180500 782;
180550 91481;
