Gene   Phenotype
100650 610251;
100678 614055;
100690 253290;601462;608930;
100710 616313;616314;
100720 253290;616321;616322;616323;
100725 605809;608931;616324;
100730 253290;265000;
100740 112100;
100790 209880;
100850 614559;616289;
102540 612098;612794;613424;
102545 155310;
102560 604717;614583;
102565 609524;614065;617047;
102573 612158;
102575 615193;
102576 135100;
102582 147060;615952;
102600 614723;
102610 161800;255310;616852;
102620 611788;613834;614042;
102630 243310;607371;
102680 145500;
102750 614300;
102770 615511;
102771 615686;615809;
102772 612874;
103000 612631;
103020 267500;
103072 610154;
103220 609283;615418;
103280 130650;180860;194071;
103320 615120;
103600 615999;616000;
103720 103780;
103730 103780;168600;
103850 611881;
103950 104300;614036;
104150 615969;615970;
104155 176807;
104160 600666;
104170 609241;609242;
104225 615431;
104260 607876;
104311 172700;600274;607822;613694;613737;
104614 220100;
104620 609924;
104760 104300;605714;
105590 613014;
105850 611895;
106150 145500;267430;
106165 145500;267430;
106180 267430;612624;614519;
106410 600919;
107265 613493;
107269 609027;
107271 612300;
107300 613118;
107310 616291;
107323 266100;
107400 606963;613490;
107470 209950;600263;607948;610424;615978;
107580 113620;
107670 143890;
107680 105200;604091;
107720 614028;
107730 144010;615558;
107741 104310;269600;603075;611771;
107773 615779;
107776 110450;
107777 125800;
107820 616140;
107910 139300;613546;
107930 608643;
108370 615574;
108730 601003;
108733 601386;
108740 101900;124200;
108780 612201;615745;
108961 602875;615923;616255;
109091 187950;254450;
109270 110500;112010;112050;166900;179800;185020;601550;601551;611162;611590;612653;
109480 111380;
109535 606843;
109630 607276;
109690 600807;601665;
109691 601665;
109700 105200;241600;
109750 614156;
109760 614674;
110300 616093;
110600 616060;
110750 611162;616089;
111300 611162;
111700 111690;
111740 611162;
112205 613501;
112210 613495;
112261 112600;235200;
112262 600625;607932;
112264 614856;
113505 164230;209880;607499;610269;
113705 604370;614320;
113730 601665;
113810 614653;615425;
113811 122400;226650;
114010 616457;
114019 612580;
114021 225280;601553;
114090 616295;
114131 166710;
114180 614916;616247;
114182 616249;
114205 601005;611875;
114206 614896;615474;
114208 170400;188580;601887;
114220 616907;
114240 253600;
114250 616231;
114251 611938;
114350 601626;613065;
114760 600852;
114761 615751;
114815 613227;
114840 609812;
115440 617062;
115500 614097;
115501 203290;612271;
116790 167870;181500;
116805 608970;
116806 114500;114550;132600;167000;615075;
116840 610127;
116897 601626;
116945 616968;
116952 616737;
116955 602668;
117143 616051;
117700 604290;
118190 605280;612233;
118423 604356;
118425 160800;255700;
118470 143470;
118485 613743;
118490 254210;
118494 100100;
118502 610353;
118503 612052;
118504 188890;600513;
118505 612052;
118507 605375;
118661 143200;
120070 104200;141200;203780;
120090 614483;614519;
120110 156500;
120120 131705;131750;131850;132000;226600;604129;607523;
120130 175780;180000;607595;611773;614519;
120131 203780;
120140 108300;132450;150600;151210;156550;183900;184250;200610;215150;271700;604864;608805;609162;609508;616583;
120150 114000;130000;130060;166200;166210;166220;166710;259420;
120160 130060;166210;166220;166710;225320;259420;
120180 130050;
120190 130000;
120210 614134;614135;
120215 130000;
120220 158810;254090;
120240 158810;254090;255600;
120250 158810;254090;616411;
120252 136800;609140;
120260 600204;603932;614284;
120270 600969;603932;
120280 154780;228520;603932;604841;
120290 184840;215150;277610;601868;609706;614524;
120320 616470;616471;
120328 267750;
120350 616720;
120353 226600;606963;
120360 259600;
120361 613073;
120436 158320;276300;609310;
120470 114500;133239;157600;
120520 617017;617018;
120550 613652;
120570 613652;
120575 613652;
120580 613783;
120620 607486;611162;
120650 610927;614699;
120700 611378;612925;613779;
120810 614374;614380;
120820 614379;
120900 609536;615749;
120920 612922;
120940 613825;615591;
120950 613790;
120960 613789;
120980 609939;
121011 124500;148210;148350;149200;220290;601544;602540;
121013 108770;614049;
121014 104100;133200;164200;186100;218400;241550;257850;600309;
121015 601885;
121360 601626;
122500 611489;
122720 122700;188890;211980;
123101 168500;168550;604757;
123580 604219;
123590 608810;613763;613869;615184;
123610 600881;
123620 601547;
123630 609741;
123631 610425;
123670 615188;
123680 604307;
123690 115700;
123695 608940;
123730 116100;
123740 616357;
123805 112410;
123810 612160;
123825 613756;
123829 609048;
123831 616342;
123833 615938;
123841 259440;
123860 615897;
123870 220110;
123889 610424;612567;
123890 140300;152700;601388;609755;616100;
123930 614546;
123940 193900;
123970 612004;
123980 615453;
124015 201750;613571;
124020 609535;
124030 608902;
124050 181500;
124080 203400;610600;
124089 220110;
124092 180300;609423;614395;
125240 613793;
125255 610048;
125270 612740;
125485 125420;125490;125500;605594;
125505 152700;
125645 610476;
125647 605676;607450;607655;609638;612908;615821;
125660 181400;601419;604765;615325;
125670 148700;615508;
125671 610193;612877;
126060 613839;
126064 263750;
126065 143880;
126090 264070;
126141 612956;616311;
126337 613488;
126340 278730;601675;610756;
126375 604121;614116;
126380 610758;
126451 181500;190300;
126452 143465;601696;
126453 143465;606798;
126455 188890;613135;
126650 214700;
128239 613818;616538;
128260 615059;
129010 145900;605253;607678;
129190 211800;
130130 162800;202700;
130160 123700;185500;
130410 231680;
130500 611804;
130610 609306;
130620 153550;
131195 187300;
131210 145500;
131222 603041;
131230 614391;
131240 612798;615706;
131242 209880;613265;613712;
131243 157300;616367;
131244 277580;600155;600501;
131320 146255;
131340 610245;
131370 612932;
131399 261500;
131530 611718;
131550 211980;616069;
132810 189800;607748;
132811 143890;
132890 615722;
133170 612623;
133171 133100;
133430 114480;157300;608446;615363;
133440 615091;
