Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
100	100|Ataxia-telangiectasia|1-9 / 1 000 000|Autosomal recessive|Infancy<br>Childhood|208900 208910
1000	1000|Ocular albinism with late-onset sensorineural deafness|<1 / 1 000 000|X-linked recessive|Adult|300650
100000	100000|Reticular perineurioma|-|-|-|
100001	100001|Sclerosing perineurioma|-|-|-|
100002	100002|Extraneural perineurioma|-|-|-|
100003	100003|Intraneural perineurioma|-|-|-|
100006	100006|ABeta amyloidosis, Dutch type|<1 / 1 000 000|Autosomal dominant|Adult|605714
100008	100008|ACys amyloidosis|<1 / 1 000 000|Autosomal dominant|Adolescent<br>Adult|105150
100011	100011|Lissencephaly with cerebellar hypoplasia type A|-|-|-|
100012	100012|Lissencephaly with cerebellar hypoplasia type B|-|-|-|
100013	100013|Lissencephaly with cerebellar hypoplasia type C|-|-|-|
100014	100014|Lissencephaly with cerebellar hypoplasia type D|-|-|-|
100015	100015|Lissencephaly with cerebellar hypoplasia type E|-|-|-|
100016	100016|Lissencephaly with cerebellar hypoplasia type F|-|-|-|
100019	100019|Refractory anemia with excess blasts type 1|Unknown|Not applicable|Adult|
100020	100020|Refractory anemia with excess blasts type 2|Unknown|Not applicable|Adult|
100021	100021|Primary plasmacytoma of the bone|-|-|-|
100022	100022|Extramedullary soft tissue plasmacytoma|-|-|-|
100024	100024|Mu-heavy chain disease|<1 / 1 000 000|-|Adult|
100025	100025|Alpha-heavy chain disease|Unknown|-|Adolescent<br>Adult|
100026	100026|Gamma-heavy chain disease|<1 / 1 000 000|-|Adult|
100031	100031|Hypoplastic amelogenesis imperfecta|-|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked dominant|-|104500 104530 204650 301201 616221 616270
100032	100032|Hypocalcified amelogenesis imperfecta|-|Autosomal dominant<br>or&nbsp;Autosomal recessive|-|130900 616221
100033	100033|Hypomaturation amelogenesis imperfecta|-|Autosomal recessive<br>or&nbsp;X-linked dominant|-|204700 301200 612529 613211 614832 615887
100034	100034|Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism|-|Autosomal dominant|-|104510
100035	100035|Solitary necrotic nodule of the liver|-|-|-|
100043	100043|Autosomal dominant intermediate Charcot-Marie-Tooth disease type A|<1 / 1 000 000|Autosomal dominant|Adult|606483
100044	100044|Autosomal dominant intermediate Charcot-Marie-Tooth disease type B|<1 / 1 000 000|Autosomal dominant|Childhood<br>Adolescent<br>Adult|606482
100045	100045|Autosomal dominant intermediate Charcot-Marie-Tooth disease type C|<1 / 1 000 000|Autosomal dominant|Childhood<br>Adolescent<br>Adult|608323
100046	100046|Autosomal dominant intermediate Charcot-Marie-Tooth disease type D|<1 / 1 000 000|Autosomal dominant|Adult|607791
100047	100047|Esophageal duplication cyst|-|-|-|
100048	100048|Tubular duplication of the esophagus|-|-|-|
100049	100049|Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies|-|-|-|
100050	100050|Hereditary angioedema type 1|1-9 / 100 000|Autosomal dominant|All ages|106100
100051	100051|Hereditary angioedema type 2|Unknown|Autosomal dominant|All ages|106100
100054	100054|Hereditary angioedema type 3|Unknown|Autosomal dominant|Adult|610618
100055	100055|Acquired angioedema type 2|-|Not applicable|Adult|
100056	100056|Acquired angioedema type 1|-|Not applicable|Adult|
100057	100057|Renin-angiotensin-aldosterone system-blocker-induced angioedema|Unknown|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|300909
100067	100067|Waterhouse-Friderichsen syndrome|-|-|-|
100069	100069|Semantic dementia|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|
100070	100070|Progressive non-fluent aphasia|1-9 / 100 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|607485
100071	100071|Mosaic trisomy 3|-|-|-|
100073	100073|Neurogenic thoracic outlet syndrome|Unknown|Not applicable|All ages|
100075	100075|Neuroendocrine tumor of stomach|1-9 / 100 000|-|-|
100076	100076|Duodenal neuroendocrine tumor|-|-|-|
100077	100077|Jejunal neuroendocrine tumor|-|-|-|
100078	100078|Ileal neuroendocrine tumor|-|-|-|
100079	100079|Neuroendocrine neoplasm of appendix|-|-|-|
100080	100080|Neuroendocrine tumor of the colon|-|-|-|
100081	100081|Neuroendocrine tumor of the rectum|-|-|-|
100082	100082|Neuroendocrine tumor of anal canal|-|-|-|
100083	100083|Laryngeal neuroendocrine tumor|-|-|-|
100084	100084|Middle ear neuroendocrine tumor|-|-|-|
100085	100085|Primary hepatic neuroendocrine carcinoma|Unknown|Not applicable|Adult|
100086	100086|Gallbladder neuroendocrine tumor|-|-|-|
100087	100087|Thyroid tumor|-|-|-|
100088	100088|Thyroid carcinoma|1-5 / 10 000|-|Adult|
100090	100090|Rare parathyroid tumor|-|-|-|
100091	100091|Adrenal/paraganglial tumor|-|-|-|
100092	100092|Gastroenteropancreatic neuroendocrine neoplasm|-|-|-|
100093	100093|Carcinoid syndrome|-|-|-|114900
100094	100094|Multiple polyglandular tumor|-|-|-|
1001	1001|2q37 microdeletion syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Neonatal|600430
100100	100100|Thymic tumor|-|-|-|
100101	100101|Neuroendocrine tumor with other location|-|-|-|
1003	1003|Scalp defects-postaxial polydactyly syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|181250
1005	1005|Alopecia-contractures-dwarfism-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|203550
1006	1006|Alopecia antibody deficiency|<1 / 1 000 000|Unknown|Infancy<br>Childhood|
1008	1008|Alopecia-epilepsy-pyorrhea-intellectual disability syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|104130
100924	100924|Porphyria due to ALA dehydratase deficiency|<1 / 1 000 000|Autosomal recessive|Adolescent<br>Childhood|612740
100932	100932|Nuclear oculomotor paralysis|-|-|-|
100973	100973|FRAXE intellectual disability|1-9 / 1 000 000|X-linked recessive|-|309548
100974	100974|FRAXF syndrome|Unknown|-|-|
100976	100976|Bathing suit ichthyosis|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|242300
100978	100978|Cloverleaf skull-asphyxiating thoracic dysplasia syndrome|-|-|-|
100979	100979|Autosomal dominant complex spastic paraplegia|1-9 / 100 000|Autosomal dominant|-|
100980	100980|Autosomal dominant pure spastic paraplegia|1-9 / 100 000|Autosomal dominant|-|
100981	100981|Autosomal recessive complex spastic paraplegia|-|-|-|
100982	100982|Autosomal recessive pure spastic paraplegia|-|-|-|
100984	100984|Autosomal dominant spastic paraplegia type 3|1-9 / 1 000 000|Autosomal dominant|Childhood<br>Adult|182600
100985	100985|Autosomal dominant spastic paraplegia type 4|-|Autosomal dominant|All ages|182601
100986	100986|Autosomal recessive spastic paraplegia type 5A|<1 / 1 000 000|Autosomal recessive|-|270800
100988	100988|Autosomal dominant spastic paraplegia type 6|<1 / 1 000 000|Autosomal dominant|-|600363
100989	100989|Autosomal dominant spastic paraplegia type 8|<1 / 1 000 000|Autosomal dominant|-|603563
100990	100990|Autosomal dominant spastic paraplegia type 9|<1 / 1 000 000|Autosomal dominant|Infancy<br>Childhood<br>Adolescent<br>Adult|601162
100991	100991|Autosomal dominant spastic paraplegia type 10|<1 / 1 000 000|Autosomal dominant|-|604187
100993	100993|Autosomal dominant spastic paraplegia type 12|<1 / 1 000 000|Autosomal dominant|-|604805
100994	100994|Autosomal dominant spastic paraplegia type 13|<1 / 1 000 000|Autosomal dominant|-|605280
100995	100995|Autosomal recessive spastic paraplegia type 14|<1 / 1 000 000|Autosomal recessive|Adult|605229
100996	100996|Autosomal recessive spastic paraplegia type 15|<1 / 1 000 000|Autosomal recessive|-|270700
100997	100997|X-linked spastic paraplegia type 16|<1 / 1 000 000|X-linked recessive|Infancy|300266
100998	100998|Autosomal dominant spastic paraplegia type 17|<1 / 1 000 000|Autosomal dominant|-|270685
100999	100999|Autosomal dominant spastic paraplegia type 19|<1 / 1 000 000|Autosomal dominant|Adult|607152
101	101|Dentatorubral pallidoluysian atrophy|1-9 / 1 000 000|Autosomal dominant|All ages|125370
1010	1010|Autosomal dominant palmoplantar keratoderma and congenital alopecia|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|104100
101000	101000|Autosomal recessive spastic paraplegia type 20|<1 / 1 000 000|Autosomal recessive|Infancy|275900
101001	101001|Autosomal recessive spastic paraplegia type 21|<1 / 1 000 000|Autosomal recessive|Childhood<br>Adolescent<br>Adult|248900
101003	101003|Autosomal recessive spastic paraplegia type 23|<1 / 1 000 000|Autosomal recessive|Childhood|270750
101004	101004|Autosomal recessive spastic paraplegia type 24|<1 / 1 000 000|Autosomal recessive|Infancy|607584
101005	101005|Autosomal recessive spastic paraplegia type 25|<1 / 1 000 000|Autosomal recessive|Adult|608220
101006	101006|Autosomal recessive spastic paraplegia type 26|<1 / 1 000 000|Autosomal recessive|Childhood<br>Adolescent|609195
101007	101007|Autosomal recessive spastic paraplegia type 27|<1 / 1 000 000|Autosomal recessive|Adult<br>Adolescent|609041
101008	101008|Autosomal recessive spastic paraplegia type 28|<1 / 1 000 000|Autosomal recessive|-|609340
101009	101009|Autosomal dominant spastic paraplegia type 29|<1 / 1 000 000|Autosomal dominant|Adolescent|609727
101010	101010|Autosomal spastic paraplegia type 30|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Adolescent<br>Adult|610357
101011	101011|Autosomal dominant spastic paraplegia type 31|Unknown|Autosomal dominant|Childhood|610250
101016	101016|Romano-Ward syndrome|1-5 / 10 000|Autosomal dominant|All ages|192500 600919 603830 611818 611819 611820 612955 613485 613688 613693 613695 616247 616249
101022	101022|Mediterranean macrothrombocytopenia|-|-|-|210250
101023	101023|Cleft hard palate|-|-|-|
101028	101028|Transaldolase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|606003
101029	101029|Sub-cortical nodular heterotopia|-|-|-|
101030	101030|Subependymal nodular heterotopia|-|-|-|
101033	101033|Peters anomaly-cataract syndrome|-|-|-|
101039	101039|Female restricted epilepsy with intellectual disability|-|Unknown|-|300088
101041	101041|Familial hypofibrinogenemia|Unknown|Autosomal dominant|All ages|202400
101043	101043|Aortic valve dysplasia|-|-|-|
101046	101046|Autosomal dominant epilepsy with auditory features|Unknown|Autosomal dominant|Childhood<br>Adolescent<br>Adult|600512 616436 616461
101049	101049|Familial hypocalciuric hypercalcemia type 2|-|Autosomal dominant|-|145981
101050	101050|Familial hypocalciuric hypercalcemia type 3|-|-|-|600740
101063	101063|Situs inversus totalis|-|Autosomal recessive<br>or&nbsp;Autosomal dominant<br>or&nbsp;Not applicable|-|
101068	101068|Congenital stromal corneal dystrophy|<1 / 1 000 000|Autosomal dominant|All ages|610048
101070	101070|Bilateral frontoparietal polymicrogyria|-|-|-|606854
101071	101071|Unilateral hemispheric polymicrogyria|-|-|-|
101075	101075|X-linked Charcot-Marie-Tooth disease type 1|-|X-linked dominant|Childhood|302800
101076	101076|X-linked Charcot-Marie-Tooth disease type 2|-|X-linked recessive|-|302801
101077	101077|X-linked Charcot-Marie-Tooth disease type 3|-|X-linked recessive|-|302802
101078	101078|X-linked Charcot-Marie-Tooth disease type 4|<1 / 1 000 000|X-linked recessive|Childhood|310490
101081	101081|Charcot-Marie-Tooth disease type 1A|1-5 / 10 000|Autosomal dominant|Childhood|118220
101082	101082|Charcot-Marie-Tooth disease type 1B|1-9 / 100 000|Autosomal dominant|Infancy<br>Childhood<br>Adolescent<br>Adult|118200
101083	101083|Charcot-Marie-Tooth disease type 1C|<1 / 1 000 000|Autosomal dominant|Childhood|601098
101084	101084|Charcot-Marie-Tooth disease type 1D|-|Autosomal dominant|Adolescent<br>Infancy<br>Childhood<br>Adult|607678
101085	101085|Charcot-Marie-Tooth disease type 1F|Unknown|Autosomal dominant|Infancy<br>Childhood|607734
101088	101088|X-linked hyper-IgM syndrome|-|-|-|308230
101089	101089|Hyper-IgM syndrome type 2|-|-|-|605258
101090	101090|Hyper-IgM syndrome type 3|-|-|-|606843
101091	101091|Hyper-IgM syndrome type 4|-|-|-|608184
101092	101092|Hyper-IgM syndrome type 5|-|-|-|608106
101096	101096|Aregenerative anemia|-|-|-|
101097	101097|Autosomal recessive Charcot-Marie-Tooth disease with hoarseness|Unknown|Autosomal recessive|Infancy<br>Neonatal|607706 607831
101101	101101|Charcot-Marie-Tooth disease type 2B2|<1 / 1 000 000|Autosomal recessive|Adult|605589
101102	101102|Charcot-Marie-Tooth disease type 2H|<1 / 1 000 000|Autosomal recessive|Childhood|607731
101104	101104|Marin-Amat syndrome|-|-|-|
101106	101106|Non-secreting chemodectoma|-|-|-|
101108	101108|Spinocerebellar ataxia type 23|<1 / 1 000 000|Autosomal dominant|Adult|610245
101109	101109|Spinocerebellar ataxia type 28|Unknown|Autosomal dominant|Childhood|610246
101110	101110|Spinocerebellar ataxia type 20|<1 / 1 000 000|Autosomal dominant|Adult|608687
101111	101111|Spinocerebellar ataxia type 25|<1 / 1 000 000|Autosomal dominant|All ages|608703
101112	101112|Spinocerebellar ataxia type 26|<1 / 1 000 000|Autosomal dominant|Adult|609306
101150	101150|Autosomal recessive dopa-responsive dystonia|1-9 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|605407
101206	101206|Pulmonary valve agenesis-tetralogy of Fallot-absence of ductus arteriosus syndrome|-|-|-|
101330	101330|Porphyria cutanea tarda|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Multigenic/multifactorial|Adult|176090 176100
101334	101334|African tick typhus|-|Not applicable|-|
101351	101351|Familial isolated congenital asplenia|-|Autosomal dominant|-|271400
1014	1014|Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome|<1 / 1 000 000|Unknown|Neonatal|601217
101433	101433|Rare urogenital disease|-|-|-|
101435	101435|Rare genetic eye disease|-|-|-|
101685	101685|Rare non-syndromic intellectual disability|-|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive<br>or&nbsp;X-linked dominant|-|
1018	1018|X-linked diffuse leiomyomatosis-Alport syndrome|-|X-linked dominant|Infancy<br>Neonatal|150700 308940
101932	101932|Anomaly of the mitral subvalvular apparatus|-|-|-|
