Transcript(ucsc/known) exons start end
uc001aak.3 3 34610 36081
uc001aal.1 1 69090 70008
uc001aaq.2 1 321083 321115
uc001aar.2 1 321145 321207
uc001aax.1 3 420205 421839
uc001abb.3 1 568843 568913
uc001abi.2 1 668417 668479
uc001abj.3 1 668509 668541
uc001abl.3 1 671915 671947
uc001abm.2 5 674239 679736
uc001abo.3 7 700244 714068
uc001abp.2 6 762970 794826
uc001abt.4 3 803450 812182
uc001abu.1 2 846814 850328
uc001abw.1 14 861120 879961
uc001abz.4 19 879582 894679
uc001aca.2 12 895966 901099
uc001acd.3 16 901876 910484
uc001ach.2 5 910578 917473
uc001aci.2 4 934341 935552
uc001acj.4 2 948846 949919
uc001ack.2 36 955502 991499
uc001acl.1 4 995116 1001833
uc001acu.2 10 1017197 1051736
uc001acv.3 3 1072396 1079434
uc001acw.2 1 1102483 1102578
uc001acx.1 2 1108435 1114935
uc001acy.2 16 1109285 1133313
uc001add.3 4 1138887 1142089
uc001ade.3 7 1146705 1149548
uc001adh.4 7 1152287 1167447
uc001adk.3 1 1167628 1170420
uc001adl.2 8 1177825 1182102
uc001ado.3 8 1189291 1209234
uc001adt.1 18 1215815 1227409
uc001aeb.2 24 1227763 1243269
uc001aed.3 8 1243993 1247057
uc001aee.2 17 1246964 1260067
uc001aeo.3 3 1260142 1264276
uc001aer.4 15 1270657 1284492
uc001aew.3 10 1288070 1293915
uc001afi.2 11 1321090 1334718
uc001afm.3 3 1334909 1337426
uc001afo.4 4 1337275 1342693
uc001afs.3 3 1370902 1378262
uc001aft.2 12 1385068 1405538
uc001afv.3 16 1407163 1431582
uc001afz.2 16 1447522 1470067
uc001agd.3 5 1477052 1510262
uc001agf.1 3 1535818 1543166
uc001agg.3 20 1550794 1565990
uc001agp.3 8 1567559 1570030
uc001agv.1 21 1571099 1655775
uc001ahc.1 3 1586822 1590469
uc001ahg.4 9 1592938 1624243
uc001ahi.1 6 1631377 1633247
uc001ahx.2 2 1656053 1663343
uc001aia.2 6 1658823 1677438
uc001aie.3 14 1682670 1711508
uc001aif.3 12 1716724 1822526
uc001aih.1 6 1846265 1848733
uc001aij.2 5 1849028 1850740
uc001aik.3 11 1853395 1858842
uc001aim.1 18 1884751 1935276
uc001aio.1 2 1944651 1946969
uc001aip.2 9 1950767 1962192
uc001aiq.3 18 1981908 2116834
uc001aiu.1 1 2112574 2114663
uc001aiz.2 1 2121236 2123179
uc001aja.4 7 2160133 2241652
uc001ajb.1 14 2252695 2322993
uc001ajc.3 1 2281852 2284100
uc001aje.2 7 2323213 2336885
uc001ajg.3 6 2336240 2344010
uc001aji.1 22 2407753 2436964
uc001ajm.1 19 2439974 2458035
uc001ajn.3 3 2460183 2461684
uc001ajo.2 3 2481358 2484284
uc001ajr.3 8 2487804 2495267
uc001ajt.1 5 2487804 2495188
uc001ajv.2 7 2518188 2522908
uc001ajy.2 24 2522080 2564481
uc001ajz.3 1 2938045 2939467
uc001aka.3 6 2976180 2980350
uc001akf.3 17 2985741 3355185
uc001akg.4 15 3371146 3397677
uc001akl.3 37 3404505 3528059
uc001akm.3 5 3541555 3546694
uc001ako.3 12 3547330 3566671
uc001akp.3 14 3569128 3652765
uc001akv.2 12 3668964 3688209
uc001akw.4 4 3689351 3692546
uc001akx.1 7 3696783 3713068
uc001aky.2 22 3728644 3773797
uc001alc.3 7 3773844 3801993
uc001alf.3 4 3805696 3816857
uc001alg.3 4 3816967 3832011
uc001ali.2 3 4000671 4012643
uc001alj.2 6 4472110 4484744
uc001aln.3 6 4715104 4843851
uc001alo.4 1 4847557 4852183
uc001alp.1 3 5621768 5728315
uc001alq.2 30 5922869 6052533
uc001aly.2 16 6105980 6161253
uc001amb.2 42 6161846 6240194
uc001amd.3 4 6245079 6259679
uc001amg.3 18 6266188 6281359
uc001amk.3 5 6281252 6296044
uc001amm.3 2 6297870 6299502
uc001amp.2 6 6307405 6321035
uc001amt.3 9 6324331 6453826
uc001amx.3 4 6475293 6479979
uc001amy.3 13 6484847 6521004
uc001anh.3 10 6521213 6526255
uc001ans.3 12 6581406 6614658
uc001ant.3 6 6615337 6639817
uc001anx.3 11 6640062 6649340
uc001aoa.3 4 6650783 6662929
uc001aob.4 4 6673755 6684093
uc001aod.3 5 6685209 6693642
uc001aof.2 16 6694227 6761966
uc001aoi.3 23 6845383 7829766
uc001aol.3 5 7831328 7841492
uc001aoo.3 21 7844713 7905237
uc001aos.3 5 7907671 7913565
uc001aot.3 9 7975930 8003225
uc001aox.4 7 8021713 8045342
uc001aoz.3 4 8071778 8086393
uc001apb.3 8 8384389 8404227
uc001apf.3 23 8412463 8877699
uc001apg.1 1 8440651 8441235
uc001apj.2 12 8921058 8939151
uc001apo.3 12 9097004 9129887
uc001apq.1 4 9164475 9189229
uc001aps.3 1 9186983 9189250
uc001apt.3 5 9294862 9331394
uc001apw.3 7 9599527 9642831
uc001aqb.4 24 9711789 9789172
uc001aqc.4 2 9712667 9714644
uc001aqh.3 19 9789078 9884550
uc001aql.1 5 9908333 9970316
uc001aqm.3 7 9989775 10002840
uc001aqp.3 5 10003485 10045556
uc001aqq.3 4 10057254 10076078
uc001aqs.4 28 10093040 10241296
uc001aqw.4 47 10270763 10441661
uc001arc.3 13 10459084 10480201
uc001arj.3 6 10520602 10532613
uc001arn.3 9 10535002 10690815
uc001aro.4 21 10696665 10856733
uc001art.3 6 11072678 11085549
uc001aru.3 11 11086579 11107296
uc001arz.1 8 11114648 11120091
uc001asa.3 25 11126675 11159938
uc001asd.3 58 11166587 11322608
uc001ase.4 5 11249345 11256038
uc001asg.3 2 11333254 11348491
uc001ash.4 21 11539294 11597640
uc001asj.3 6 11708417 11714888
uc001asm.3 6 11714913 11723384
uc001aso.3 6 11724149 11734409
uc001asr.1 7 11751780 11780336
uc001ass.2 1 11782186 11785914
uc001asv.3 5 11796141 11810828
uc001asy.1 2 11824461 11826573
uc001asz.3 14 11832138 11849642
uc001atc.2 12 11845786 11866160
uc001ate.5 23 11866152 11903201
uc001ati.3 3 11905766 11907840
uc001atj.3 3 11917520 11918992
uc001atk.3 3 11979644 11986485
uc001atm.3 19 11994723 12035599
uc001ato.2 10 12079298 12092106
uc001atq.3 15 12123433 12204264
uc001att.3 10 12227059 12269277
uc001atv.3 70 12290112 12572098
uc001atz.1 1 12567299 12567451
uc001auc.3 6 12627938 12677820
uc001auf.3 4 12704565 12727097
